《转型期我国中小企业发展的若干问题研究》池仁勇 林汉川 等 著

目录
前言

第一篇我国转型期中小企业发展若干理论问题研究
第一章  产业集群结构、适应能力与升级路径
第二节  进一步完善小微企业政策和措施的建议
第三节  国家体制机制创新保障小微企业政策有效落实

第十九章  发展"新三板"市场创建我国高技术企业融资新平台
第一节  新三板"市场是高新技术企业融资的创新模式
第二节  中关村科技园区试点"新三板"市场的基本经验
第三节  对策与建议

第二十章  发展中国中小企业集合债融资新模式
第一节  中国中小企业集合债界定和产生
第二节  中国中小企业集合债融资创新模式的主要特征
第三节  中国中小企业集合债融资新模式的功能与存在问题
第四节  对策与建议

第二十一章  发展融资租赁促进浙江中小企业转型升级的对策建议
第一节  融资租赁促进浙江省中小企业转型升级的积极作用
第二节  融资租赁促进浙江省中小企业转型升级中存在的问题分析
第三节  加快发展融资租赁促进浙江省中小企业转型升级的对策建议

第二十二章  我国中小型房地产企业面临的风险与 应对策略
第一节  我国中小型房地产企业面临风险的特征
第二节  我国中小型房地产企业面临风险的形成原因
第三节  对策与建议

第二十三章  加快改善我国不合理出口贸易结构的对策
第一节  我国企业出口贸易结构不合理的主要特征
第二节  导致出口贸易结构中不合理特征的根源
第三节  加快改善我国不合理出口贸易结构的对策建议

第二十四章  加快推进县域中小企业转型升级
第一节  县域中小企业转型升级的路径与经验
第二节  县域中小企业转型升级现存问题
第三节  促进县域中小企业转型升级对策建议

第二十五章  提升企业市场话语权，推进浙江产品制造转型升级
第一节  浙江企业市场话语权的基本评价
第二节  浙江企业市场话语权的主要制约因素
第三节  提升浙江企业市场话语权的对策建议

第二十六章  杭叉集团转型升级的"五力"驱动模式  
第一节  研究背景及概要·
第二节  杭叉集团转型升级的"五力"驱动模式
第三节  启示与建议

第三篇  中国中小企业景气指数评价
第二十七章  中小企业景气指数理论与方法
第一节  景气指数理论与原理
第二节  景气指数评价指标的分类与选取
第三节  中小企业景气指数编制流程及评价方法

第二十八章  2011年我国中小企业景气指数评价
第一节  2011年我国工业中小企业景气指数测评
第二节  2011年我国中小板企业景气指数测评
第三节  2011年我国中小企业比较景气指教测评  
第四节  2011年我国中小企业综合景气指数测评

第二十九章  2012年我国中小企业景气指数评价  
第一节  2012年我国工业中小企业景气指数测评  
第二节  2012年我国中小板及创业板企业景气指数测评  
第三节  2012年我国中小企业比较景气指数测评  
第四节  2012年我国中小企业综合景气指数测评

第三十章  2012年我国主要城市中小企业景气指数评价      
第一节  研究方法与样本说明
第二节  2012年我国主要城市中小企业景气指数计算      
第三节  2012年我国城市中小企业综合景气指数测评      
第四节  我国主要城市中小企业综合景气指数发展趋势分析

附录2006-2012年我国中小企业景气指数计算数据
参考文献
